Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/16V","C_0805_2012Metric",147.8788,-111.8108,180.0000,bottom
"C2","100nF","C_0603_1608Metric",147.8636,-114.7064,180.0000,bottom
"C3","100nF","C_0603_1608Metric",134.7500,-101.3600,90.0000,bottom
"C4","100nF","C_0603_1608Metric",131.7500,-112.1100,-90.0000,bottom
"C5","100nF","C_0603_1608Metric",131.7500,-97.3600,-90.0000,bottom
"C6","100nF","C_0603_1608Metric",130.2500,-112.1100,-90.0000,bottom
"C7","100nF","C_0603_1608Metric",130.2500,-97.3600,-90.0000,bottom
"C8","100nF","C_0603_1608Metric",133.5000,-110.3600,-90.0000,bottom
"C9","100nF","C_0603_1608Metric",120.5000,-110.3600,-90.0000,bottom
"C10","100nF","C_0603_1608Metric",126.6500,-104.7100,-90.0000,bottom
"C11","100nF","C_0603_1608Metric",123.7500,-112.1100,-90.0000,bottom
"C12","100nF","C_0603_1608Metric",123.7500,-97.3600,-90.0000,bottom
"C13","100nF","C_0603_1608Metric",122.2500,-112.1100,-90.0000,bottom
"C14","100nF","C_0603_1608Metric",122.2500,-97.3600,-90.0000,bottom
"C15","100nF","C_0603_1608Metric",149.7500,-104.6800,180.0000,bottom
"C16","100nF","C_0603_1608Metric",153.3750,-92.8850,180.0000,bottom
"C17","10uF/16V","C_0805_2012Metric",149.1000,-92.3600,0.0000,bottom
"D1","M4","D_SMA",151.5364,-107.9500,0.0000,bottom
"L1","BLM21PG331SN1D","L_0805",127.0000,-108.8600,90.0000,bottom
"R1","82","R_0603_1608Metric",133.5024,-116.4336,90.0000,bottom
"R2","82","R_0603_1608Metric",128.3208,-115.2144,90.0000,bottom
"R3","130","R_0603_1608Metric",132.5000,-99.8270,180.0000,bottom
"R4","100","R_0603_1608Metric",131.0000,-109.6100,180.0000,bottom
"R5","130","R_0603_1608Metric",133.5000,-113.3600,90.0000,bottom
"R6","130","R_0603_1608Metric",128.5000,-112.1100,90.0000,bottom
"R7","130","R_0603_1608Metric",129.5000,-99.8270,180.0000,bottom
"R8","130","R_0603_1608Metric",125.5000,-112.1100,-90.0000,bottom
"R9","130","R_0603_1608Metric",120.5000,-113.3600,-90.0000,bottom
"R10","130","R_0603_1608Metric",124.5000,-99.8270,180.0000,bottom
"R11","100","R_0603_1608Metric",123.0000,-109.6100,180.0000,bottom
"R12","130","R_0603_1608Metric",121.5000,-99.8270,180.0000,bottom
"R13","82","R_0603_1608Metric",125.6792,-115.2144,-90.0000,bottom
"R14","82","R_0603_1608Metric",120.4976,-116.3828,-90.0000,bottom
"U1","MAX9321","SOIC-8_3.9x4.9mm_P1.27mm",131.0000,-104.7600,90.0000,bottom
"U2","MAX9321","SOIC-8_3.9x4.9mm_P1.27mm",123.0000,-104.7600,90.0000,bottom
"U3","LM1117-3.3","SOT-223-3_TabPin2",151.0000,-98.6800,90.0000,bottom
